product,brand,price,product_link,image_link
Valentino Garavani 'Rockstud' Sneakers,Bottega Veneta,650 €,/de/shopping/men/bottega-veneta-bv-level-loafer-item-15800271.aspx,
'Phantom' Sneakers,Edhen Milano,719 €,/de/shopping/men/edhen-milano-comporta-loafer-mit-haken-item-15588863.aspx,
'OOO Out of Office' Sneakers,Maison Margiela,846 €,/de/shopping/men/maison-margiela-loafer-mit-tabi-kappe-item-15819261.aspx,
'Basketball' High-Top-Sneakers,Magnanni,464 €,/de/shopping/men/magnanni-loafer-mit-quasten-item-15589402.aspx,
'BV Level' Loafer,Jordan,419 €,/de/shopping/men/jordan-air-jordan-1-high-og-bio-hack-sneakers-item-15817659.aspx,
'Comporta' Loafer mit Haken,Nike,288 €,/de/shopping/men/nike-air-force-1-gore-tex-sneakers-item-15820382.aspx,
Loafer mit Tabi-Kappe,Off-White,390 €,/de/shopping/men/off-white-ooo-out-of-office-sneakers-item-15280758.aspx,
Loafer mit Quasten,Gucci,790 €,/de/shopping/men/gucci-rython-sneakers-item-15848425.aspx,
'Air Jordan 1 High OG Bio Hack' Sneakers,Jordan,253 €,/de/shopping/men/jordan-air-jordan-1-mid-sneakers-item-15848431.aspx,
'Air Force 1 GORE-TEX' Sneakers,adidas YEEZY,602 €,/de/shopping/men/adidas-yeezy-yeezy-boost-350-v2-sneakers-item-15477806.aspx,
'OOO Out of Office' Sneakers,Alexander McQueen,450 €,/de/shopping/men/alexander-mcqueen-oversized-sneakers-item-15632365.aspx,https://cdn-static.farfetch-contents.com/static/images/blank.gif
'Rython' Sneakers ,Marcelo Burlon County of Milan,335 €,/de/shopping/men/marcelo-burlon-county-of-milan-c-run-3000-sneakers-item-15615058.aspx,https://cdn-static.farfetch-contents.com/static/images/blank.gif
'Air Jordan 1 Mid' Sneakers,Neil Barrett,394 €,/de/shopping/men/neil-barrett-metal-applique-oxford-shoes-item-15837269.aspx,https://cdn-static.farfetch-contents.com/static/images/blank.gif
'Yeezy Boost 350 V2' Sneakers,Magnanni,489 €,/de/shopping/men/magnanni-oxford-schuhe-mit-kroko-effekt-item-15588871.aspx,https://cdn-static.farfetch-contents.com/static/images/icons/loading-spinner.svg
'Oversized' Sneakers,Philipp Plein,650 €,/de/shopping/men/philipp-plein-original-loafer-item-14027405.aspx,https://cdn-static.farfetch-contents.com/static/images/icons/loading-spinner.svg
'C-Run 3000' Sneakers,Henderson Baracco,390 €,/de/shopping/men/henderson-baracco-lace-up-shoes-item-15842095.aspx,https://cdn-static.farfetch-contents.com/static/images/icons/loading-spinner.svg
